Second_Derivative,Label
-2052.7602303098142,0.0
-754.9287514303966,0.0
2236.4551359525535,0.0
1453.3125956928627,0.0
-2458.3054491191356,0.0
-1484.6261718427763,0.0
1418.2879212121911,0.0
-375.0442996230894,0.0
-413.74709633844867,0.0
1405.048973494906,0.0
-851.3602567264068,0.0
-809.3668942418469,0.0
1194.2847359927632,0.0
78.28431913113751,0.0
-1510.090925059355,1.0
-854.5318814821513,0.0
1334.0757695506054,0.0
2733.4145061412273,0.0
-437.7566832225207,0.0
-2851.19516488351,1.0
1043.2924617890096,0.0
848.3974785440681,1.0
-1004.4602162061492,1.0
713.2918733306013,0.0
-1318.5140159023986,1.0
-510.7946333366456,1.0
2512.8128588066647,0.0
-1101.1000222304267,1.0
-1994.472519121804,1.0
1110.7465964888784,0.0
-471.23846642416595,1.0
-14.058266320898412,1.0
1899.8057382500772,0.0
-1004.7986054168261,1.0
-171.01606027884145,1.0
1771.0376820716865,0.0
-1315.8572935098155,1.0
-2311.9503529213775,1.0
661.5727395179936,0.0
788.235841004404,0.0
-189.87484784940966,0.0
1917.194887522097,0.0
391.4848086872046,0.0
-2258.8791861012896,0.0
-1736.0473704218737,0.0
-387.44939518037233,0.0
3369.804704673058,0.0
3135.706693712998,0.0
-3634.3686029098653,0.0
-2682.110525142653,0.0
1746.4054481032683,0.0
886.5497752184891,0.0
-217.20503732821138,0.0
-2027.4732572980422,0.0
1446.0310363313613,0.0
1108.996079635815,-1.0
-1769.5398682043674,0.0
1624.4842379720762,-1.0
35.39756803336286,0.0
-490.91601822673863,-1.0
-333.52280889945405,0.0
340.3278708500285,-1.0
1534.8983829262688,-1.0
-147.0330134890421,0.0
1373.3947399259728,-1.0
-2460.391513158658,0.0
-3345.559298743123,0.0
1272.5990631228178,-1.0
2237.84688763767,0.0
2712.652744587033,-1.0
-2130.6629511271467,0.0
-2218.3245614828757,0.0
600.8654145748621,-1.0
707.5765915535983,-1.0
2817.7210594779285,-1.0
-712.0646862303208,0.0
-3410.731385746461,0.0
-527.0246470674058,-1.0
902.3273249598691,0.0
815.7883912714923,-1.0
1517.2814236920724,-1.0
1634.3829860483706,-1.0
-2303.7242420927378,0.0
-1453.8182699820563,0.0
1679.0654274828553,-1.0
33.34501646690873,0.0
-171.86629935361958,0.0
-910.5439636036979,0.0
-423.97062074692076,0.0
1142.3309669990006,0.0
1211.5934698390267,0.0
-896.6001263911179,0.0
-2070.682824212854,0.0
311.2085419916724,0.0
1953.9625297966008,0.0
1497.471742180794,0.0
-537.0844250080977,0.0
-2369.397370635001,0.0
-1859.1104148338877,0.0
2190.849076521977,0.0
3430.2175816373633,0.0
-360.477086575238,0.0
-1502.7167348982853,0.0
381.3242094809875,0.0
92.51508243966236,0.0
-2276.800179868337,1.0
347.9755896896843,1.0
2033.3158558115524,0.0
91.38989865604754,1.0
